"Team_Name_name","Team_Name_AdjO","Team_Name_AdjD","Team_Name_AdjT"
"Duke","120.6","90.0","74.5"
"Kansas","117.0","90.5","71.9"
"Virginia","115.9","89.6","61.8"
"Michigan","114.2","88.0","65.6"
"Nevada","120.3","94.6","69.6"
"Gonzaga","122.1","96.7","72.2"
"North Carolina","119.2","94.6","76.2"
"Michigan St.","118.1","93.8","71.2"
"Auburn","116.2","92.5","69.7"
"Tennessee","115.3","92.1","69.6"
"Virginia Tech","117.0","94.8","68.1"
"Texas Tech","110.1","88.4","68.0"
"Wisconsin","113.6","92.2","65.1"
"Purdue","116.2","96.1","67.8"
"Florida St.","112.3","92.3","72.3"
"Syracuse","111.2","91.9","66.8"
"Iowa St.","114.1","94.9","70.6"
"Kentucky","115.4","96.2","70.2"
"Ohio St.","111.7","92.8","67.5"
"Villanova","116.0","97.2","64.5"
"Nebraska","114.1","95.3","67.0"
"Florida","109.0","90.7","65.3"
"Mississippi St.","112.5","94.1","68.5"
"Kansas St.","106.7","88.7","69.2"
"Indiana","111.2","93.6","71.0"
"Butler","113.4","95.9","66.8"
"North Carolina St.","115.3","98.0","74.3"
"Maryland","111.9","94.7","69.4"
"Cincinnati","109.4","92.5","64.3"
"TCU","111.0","94.3","71.1"
"Oregon","111.8","95.1","68.2"
"Oklahoma","109.7","93.2","73.3"
"West Virginia","110.4","94.1","73.1"
"Buffalo","113.0","96.7","73.6"
"Marquette","111.8","95.8","70.1"
"Houston","110.0","94.1","65.5"
"Texas","107.3","92.1","69.5"
"Iowa","114.9","99.8","72.2"
"Creighton","116.3","101.4","72.2"
"Louisville","111.1","96.4","69.4"
"Clemson","110.8","96.3","68.3"
"Penn St.","106.2","91.8","67.7"
"Arizona St.","110.1","96.0","72.8"
"UCF","108.1","94.5","65.9"
"Miami FL","110.6","97.0","70.4"
"UCLA","110.4","96.9","73.3"
"Northwestern","107.9","94.5","68.5"
"Arizona","109.1","95.9","70.7"
"LSU","113.2","100.3","71.2"
"Arkansas","109.3","96.4","75.0"
"San Francisco","106.7","94.1","70.6"
"Washington","108.8","96.3","68.9"
"Saint Mary's","114.2","102.0","65.6"
"St. John's","111.8","99.7","73.9"
"Utah St.","108.8","97.2","73.0"
"Notre Dame","109.3","97.9","67.7"
"Seton Hall","108.8","97.5","70.4"
"Minnesota","109.1","97.8","70.4"
"Murray St.","106.9","95.7","69.6"
"Mississippi","111.4","100.3","71.5"
"Xavier","112.1","101.2","67.0"
"Colorado","108.0","97.4","73.6"
"BYU","109.9","99.4","74.1"
"Vanderbilt","109.2","99.0","71.1"
"Oklahoma St.","106.6","96.6","71.9"
"Fresno St.","107.6","97.7","70.7"
"Oregon St.","108.8","98.9","67.7"
"Georgia Tech","101.9","92.0","69.4"
"Baylor","106.7","96.9","68.0"
"Alabama","107.1","97.4","70.9"
"Providence","108.5","99.0","68.8"
"Lipscomb","108.0","98.6","74.3"
"Davidson","109.9","100.6","68.5"
"Dayton","108.4","99.4","66.9"
"Saint Louis","101.2","92.3","70.1"
"Toledo","109.2","100.3","69.5"
"South Dakota St.","112.6","103.8","71.8"
"New Mexico St.","106.6","97.9","66.6"
"Temple","106.0","97.5","70.0"
"Connecticut","108.4","99.9","74.4"
"Wofford","109.1","100.7","67.6"
"Georgetown","108.1","99.8","75.0"
"UNC Greensboro","107.5","99.1","70.0"
"Texas A&M","107.5","99.3","70.3"
"VCU","99.6","91.4","69.7"
"Liberty","107.8","99.8","66.7"
"Old Dominion","102.3","94.3","65.7"
"San Diego","107.3","99.4","67.1"
"USC","107.8","99.9","73.6"
"Boston College","108.6","100.9","69.5"
"Belmont","110.0","102.3","77.3"
"Loyola Chicago","103.0","95.4","68.6"
"Missouri","106.4","98.9","65.1"
"Northeastern","112.2","104.8","66.8"
"DePaul","107.2","99.7","70.2"
"San Diego St.","109.8","102.5","68.0"
"Harvard","104.9","97.7","70.4"
"UC Irvine","103.9","96.7","66.5"
"Yale","106.8","99.5","73.8"
"Stanford","103.1","95.8","71.4"
"Saint Joseph's","109.8","102.8","71.9"
"SMU","111.0","104.1","65.3"
"South Carolina","104.0","97.2","74.8"
"Illinois","107.1","100.4","73.3"
"Western Kentucky","107.9","101.4","68.0"
"Penn","106.5","100.2","69.9"
"Rutgers","101.3","95.1","68.5"
"Montana","108.3","102.1","67.7"
"Vermont","108.7","102.6","66.6"
"Wichita St.","105.5","99.5","70.3"
"Ball St.","108.6","102.6","70.1"
"Hofstra","112.1","106.1","68.5"
"Pittsburgh","103.0","97.1","70.9"
"Rhode Island","101.7","96.0","71.0"
"Furman","105.8","100.2","69.4"
"Charleston","106.3","100.8","65.6"
"Georgia St.","108.7","103.4","71.0"
"Southern Illinois","104.9","99.7","67.6"
"Memphis","106.4","101.2","74.9"
"Marshall","105.9","101.1","77.3"
"Rider","107.8","103.0","75.4"
"Loyola Marymount","103.6","98.9","64.1"
"Tulsa","105.4","101.0","69.4"
"Georgia","103.9","99.5","71.7"
"Akron","103.9","99.6","67.3"
"Bradley","104.0","99.9","67.0"
"Louisiana","106.1","102.1","74.7"
"Northern Kentucky","105.1","101.1","70.3"
"Utah","108.5","104.6","66.9"
"East Tennessee St.","103.0","99.2","67.4"
"North Texas","105.1","101.5","67.3"
"Georgia Southern","107.5","104.1","77.2"
"Massachusetts","106.9","103.5","71.9"
"Grand Canyon","104.3","100.9","69.6"
"Radford","105.2","101.9","66.8"
"Louisiana Tech","108.5","105.3","68.8"
"Boise St.","103.7","100.9","68.5"
"UNLV","102.5","99.8","71.4"
"Texas St.","101.6","98.9","67.7"
"Indiana St.","102.5","100.1","69.7"
"Wright St.","106.6","104.5","67.4"
"Wake Forest","106.4","104.2","68.6"
"Utah Valley","104.4","102.3","70.3"
"Northern Colorado","106.5","104.5","72.8"
"Southern Miss","103.8","101.8","66.4"
"Lehigh","106.2","104.4","72.6"
"Kent St.","106.1","104.6","70.2"
"Weber St.","104.3","103.1","74.4"
"UC Santa Barbara","102.8","101.7","66.0"
"Jacksonville St.","101.3","100.2","71.9"
"St. Bonaventure","101.4","100.5","67.2"
"Holy Cross","102.5","101.6","65.7"
"Pacific","105.4","104.5","68.9"
"Illinois St.","105.3","104.5","70.5"
"Ohio","100.4","99.7","75.2"
"New Mexico","107.5","107.1","75.4"
"Northern Illinois","110.4","110.1","66.3"
"Duquesne","103.7","103.4","70.2"
"Valparaiso","103.6","103.5","68.0"
"Colgate","104.3","104.3","69.6"
"Miami OH","106.4","106.3","66.7"
"George Mason","102.7","102.8","71.2"
"Cal St. Fullerton","100.3","100.5","72.2"
"Central Michigan","105.0","105.3","72.4"
"Richmond","107.1","107.6","67.2"
"Winthrop","104.1","104.7","77.5"
"Abilene Christian","103.0","103.6","64.8"
"Stephen F. Austin","101.8","102.5","69.3"
"Stony Brook","103.6","104.4","69.3"
"California","106.0","106.9","66.4"
"Seattle","101.9","102.8","71.8"
"Drake","103.6","104.7","73.7"
"Illinois Chicago","104.6","105.6","72.8"
"South Dakota","99.5","100.6","68.1"
"Washington St.","105.7","106.9","74.5"
"Eastern Michigan","103.3","104.5","65.3"
"Princeton","102.6","104.0","68.4"
"Brown","99.2","100.7","72.0"
"Northern Iowa","99.4","100.9","68.5"
"William & Mary","108.5","110.2","69.3"
"Bucknell","101.9","103.7","71.0"
"American","102.5","104.5","66.9"
"Boston University","99.8","101.8","69.0"
"Appalachian St.","105.5","107.6","73.4"
"North Florida","104.6","106.8","74.2"
"The Citadel","108.6","110.9","77.6"
"Troy","103.9","106.2","68.1"
"Evansville","100.5","102.9","75.3"
"Coastal Carolina","103.1","105.5","70.6"
"UTSA","100.9","103.3","73.5"
"Austin Peay","101.6","104.5","72.0"
"Bowling Green","101.2","104.3","71.7"
"IUPUI","99.4","102.5","73.1"
"Samford","102.3","105.4","70.0"
"Gardner Webb","103.9","107.0","67.3"
"Purdue Fort Wayne","104.2","107.3","74.2"
"Mercer","100.4","103.6","67.0"
"UAB","101.4","104.6","69.5"
"Hartford","102.8","106.1","69.4"
"Hawaii","101.6","105.0","66.1"
"Wyoming","102.0","105.5","72.0"
"UNC Wilmington","105.3","108.8","71.8"
"Green Bay","101.9","105.4","76.2"
"Marist","102.1","105.7","65.3"
"Long Beach St.","100.8","104.4","74.1"
"Iona","102.9","106.5","74.3"
"NJIT","100.1","103.8","68.3"
"Cal St. Bakersfield","99.0","102.6","67.3"
"South Alabama","99.3","102.9","68.4"
"St. Francis PA","105.1","108.9","71.5"
"Missouri St.","103.1","106.9","72.8"
"Tulane","100.9","105.0","70.1"
"Delaware","106.1","110.4","65.2"
"UMBC","97.4","101.8","69.7"
"South Florida","98.1","102.5","67.6"
"North Dakota St.","104.6","109.0","68.3"
"Cal Baptist","102.7","107.2","72.6"
"James Madison","100.1","104.6","67.6"
"Louisiana Monroe","101.1","105.7","66.5"
"Pepperdine","103.3","108.1","74.1"
"FIU","101.6","106.4","83.0"
"Western Michigan","101.0","105.7","69.2"
"Nebraska Omaha","102.9","107.9","69.9"
"Texas Southern","100.7","105.9","75.7"
"Colorado St.","104.5","109.8","68.9"
"Charleston Southern","99.4","104.7","73.5"
"Florida Atlantic","100.0","105.3","71.2"
"Canisius","99.3","104.6","70.4"
"Sacramento St.","97.3","102.7","73.3"
"Campbell","105.1","110.7","68.9"
"Fordham","97.7","103.3","65.6"
"Hampton","99.3","105.1","72.3"
"Portland St.","99.7","105.7","75.2"
"Cornell","99.8","105.7","69.1"
"Lamar","99.7","105.7","71.0"
"UT Rio Grande Valley","96.2","102.2","72.0"
"Dartmouth","102.5","108.6","69.8"
"Southern Utah","100.6","106.7","71.1"
"Western Illinois","98.0","104.3","69.2"
"Middle Tennessee","96.5","102.8","70.1"
"Columbia","103.5","109.8","69.7"
"Oakland","106.8","113.1","68.2"
"UC Davis","94.3","100.7","67.3"
"High Point","99.1","105.6","63.6"
"UTEP","97.4","104.0","71.1"
"UT Arlington","97.1","103.7","69.7"
"Wagner","98.8","105.5","67.2"
"Air Force","98.7","105.6","67.6"
"Quinnipiac","96.1","103.1","70.5"
"Fairfield","101.8","108.8","70.2"
"Idaho St.","103.3","110.4","68.9"
"Little Rock","97.8","104.9","72.8"
"Albany","100.5","107.7","68.0"
"La Salle","101.8","109.0","74.0"
"East Carolina","96.0","103.3","73.1"
"Eastern Washington","98.1","105.4","70.3"
"Florida Gulf Coast","100.8","108.3","69.8"
"Central Connecticut","102.9","110.4","69.0"
"Niagara","98.0","105.5","72.9"
"Eastern Kentucky","99.6","107.1","80.0"
"UMKC","99.1","106.6","68.7"
"Portland","102.0","109.6","70.7"
"Denver","101.5","109.1","69.0"
"Drexel","104.3","112.0","71.6"
"Santa Clara","98.8","106.6","69.7"
"Fairleigh Dickinson","100.9","108.7","71.5"
"Army","97.9","105.8","73.0"
"Morehead St.","101.2","109.1","70.9"
"Siena","104.6","112.6","62.2"
"George Washington","98.0","106.1","69.4"
"LIU Brooklyn","100.5","108.7","74.0"
"Houston Baptist","103.5","111.7","74.1"
"Nicholls St.","97.0","105.2","70.5"
"Cleveland St.","98.8","107.2","72.0"
"Central Arkansas","99.3","107.8","72.6"
"Presbyterian","102.8","111.3","71.0"
"Prairie View A&M","99.4","108.0","72.1"
"Tennessee St.","95.1","103.7","73.5"
"Southeast Missouri St.","97.7","106.5","69.8"
"North Dakota","95.8","104.7","72.2"
"Idaho","101.3","110.1","66.4"
"Saint Peter's","95.8","104.7","67.2"
"UMass Lowell","102.4","111.5","73.2"
"New Orleans","96.7","106.1","67.0"
"Arkansas St.","101.0","110.3","70.8"
"Robert Morris","94.8","104.4","68.9"
"Norfolk St.","96.0","105.7","70.0"
"Towson","98.2","107.9","66.3"
"Milwaukee","97.4","107.2","68.4"
"Detroit","101.5","111.3","70.5"
"Tennessee Martin","100.2","110.2","74.1"
"Elon","98.6","108.7","71.0"
"Loyola MD","101.0","111.1","69.3"
"Howard","101.6","111.7","74.6"
"Sacred Heart","100.6","111.0","73.4"
"Monmouth","94.5","105.0","69.1"
"Grambling St.","95.8","106.3","71.5"
"St. Francis NY","97.4","108.1","70.4"
"Jacksonville","95.9","106.6","72.9"
"Southeastern Louisiana","91.9","102.6","68.1"
"Western Carolina","96.1","106.8","72.7"
"Rice","99.5","110.3","72.8"
"Longwood","92.0","102.8","67.7"
"Montana St.","102.0","113.1","71.3"
"Texas A&M Corpus Chris","94.1","105.7","66.5"
"Oral Roberts","99.7","111.3","69.9"
"Sam Houston St.","96.1","107.8","67.6"
"North Carolina Central","98.1","110.0","66.5"
"Charlotte","95.5","107.5","66.0"
"Chattanooga","95.4","107.4","70.2"
"UC Riverside","96.2","108.2","65.2"
"Cal Poly","96.3","108.6","65.4"
"Navy","96.2","108.5","67.3"
"Bethune Cookman","95.4","107.8","73.0"
"Eastern Illinois","95.7","108.4","69.7"
"Northern Arizona","98.3","111.1","72.6"
"Lafayette","98.4","111.4","68.6"
"Morgan St.","94.2","107.6","73.6"
"Manhattan","89.0","102.8","64.3"
"Cal St. Northridge","98.0","111.9","73.9"
"North Carolina A&T","98.4","112.5","66.8"
"Alabama St.","95.8","110.0","67.8"
"Binghamton","95.2","109.5","68.5"
"McNeese St.","97.7","112.5","68.5"
"North Alabama","95.3","110.1","70.7"
"USC Upstate","94.0","109.0","70.5"
"San Jose St.","92.3","107.4","70.0"
"Tennessee Tech","92.6","107.8","71.0"
"Youngstown St.","97.7","112.8","71.4"
"SIU Edwardsville","96.7","112.0","69.2"
"Arkansas Pine Bluff","93.7","109.1","68.3"
"Mount St. Mary's","93.7","109.4","72.7"
"VMI","95.8","111.8","71.4"
"Maine","91.1","107.6","63.9"
"Southern","97.8","115.2","68.9"
"Kennesaw St.","89.8","107.2","69.0"
"Stetson","95.3","112.8","71.7"
"New Hampshire","92.1","110.0","68.8"
"Bryant","97.7","115.7","71.3"
"Florida A&M","89.9","108.3","68.0"
"UNC Asheville","90.9","109.3","64.0"
"South Carolina St.","94.5","113.1","68.7"
"Incarnate Word","96.1","115.7","65.8"
"Alcorn St.","91.7","111.4","66.1"
"Savannah St.","94.3","114.2","84.2"
"Chicago St.","93.5","114.5","72.5"
"Jackson St.","86.4","107.8","71.9"
"Maryland Eastern Shore","89.3","111.2","66.1"
"Mississippi Valley St.","92.8","115.1","71.1"
"Northwestern St.","88.1","110.6","70.9"
"Coppin St.","87.7","111.5","70.7"
"Alabama A&M","86.8","111.6","69.3"
"Delaware St.","86.7","114.9","73.2"